nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
35c620f16a2cbfcc_crop3.png;pixelseal;img_dirette;Pulita;0.5117;-0.0344
35c620f16a2cbfcc_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.2047
35c620f16a2cbfcc_crop3.png;pixelseal;img_dirette;Attaccata;0.8789;-0.1626
006afe56d09e8a25_crop2.png;pixelseal;img_dirette;Pulita;0.5195;-0.0217
006afe56d09e8a25_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0381
006afe56d09e8a25_crop2.png;pixelseal;img_dirette;Attaccata;0.9609;0.0528
842e532cef5cdf56_crop2.png;pixelseal;img_dirette;Pulita;0.5391;-0.0401
842e532cef5cdf56_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.1553
842e532cef5cdf56_crop2.png;pixelseal;img_dirette;Attaccata;0.9062;-0.0093
420a3f66afb06765_crop3.png;pixelseal;img_dirette;Pulita;0.4805;-0.0139
420a3f66afb06765_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0356
420a3f66afb06765_crop3.png;pixelseal;img_dirette;Attaccata;0.9883;0.0303
35c620f16a2cbfcc_crop0.png;pixelseal;img_dirette;Pulita;0.4531;-0.0113
35c620f16a2cbfcc_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0238
35c620f16a2cbfcc_crop0.png;pixelseal;img_dirette;Attaccata;0.8398;0.0747
b4981e6dd9b3213f_crop1.png;pixelseal;img_dirette;Pulita;0.5234;-0.0162
b4981e6dd9b3213f_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.241
b4981e6dd9b3213f_crop1.png;pixelseal;img_dirette;Attaccata;0.8359;-0.14
72a524ff4f26d0c6_crop0.png;pixelseal;img_dirette;Pulita;0.5;0.0067
72a524ff4f26d0c6_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0362
72a524ff4f26d0c6_crop0.png;pixelseal;img_dirette;Attaccata;0.9453;-0.1117
58e590cea5efc434_crop0.png;pixelseal;img_dirette;Pulita;0.5117;-0.0368
58e590cea5efc434_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0984
58e590cea5efc434_crop0.png;pixelseal;img_dirette;Attaccata;0.8516;0.0781
bafd23428b91ec93_crop2.png;pixelseal;img_dirette;Pulita;0.5039;-0.011
bafd23428b91ec93_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0404
bafd23428b91ec93_crop2.png;pixelseal;img_dirette;Attaccata;0.8086;0.0533
b4981e6dd9b3213f_crop2.png;pixelseal;img_dirette;Pulita;0.5273;-0.0277
b4981e6dd9b3213f_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0036
b4981e6dd9b3213f_crop2.png;pixelseal;img_dirette;Attaccata;0.8086;0.0264
58e590cea5efc434_crop3.png;pixelseal;img_dirette;Pulita;0.5156;-0.0122
58e590cea5efc434_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.2919
58e590cea5efc434_crop3.png;pixelseal;img_dirette;Attaccata;0.8477;0.1091
73be5f07407a7747_crop3.png;pixelseal;img_dirette;Pulita;0.4883;-0.0278
73be5f07407a7747_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.1848
73be5f07407a7747_crop3.png;pixelseal;img_dirette;Attaccata;0.9297;-0.1346
8f6cc697ff4a0cda_crop3.png;pixelseal;img_dirette;Pulita;0.4844;-0.0239
8f6cc697ff4a0cda_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0325
8f6cc697ff4a0cda_crop3.png;pixelseal;img_dirette;Attaccata;0.8633;0.0097
791caaeb3f093f0e_crop3.png;pixelseal;img_dirette;Pulita;0.5273;-0.0336
791caaeb3f093f0e_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.1573
791caaeb3f093f0e_crop3.png;pixelseal;img_dirette;Attaccata;0.9492;-0.1836
842e532cef5cdf56_crop0.png;pixelseal;img_dirette;Pulita;0.4883;-0.0146
842e532cef5cdf56_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.3901
842e532cef5cdf56_crop0.png;pixelseal;img_dirette;Attaccata;0.8789;0.1033
420a3f66afb06765_crop1.png;pixelseal;img_dirette;Pulita;0.4805;-0.0193
420a3f66afb06765_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.2468
420a3f66afb06765_crop1.png;pixelseal;img_dirette;Attaccata;0.9531;-0.0919
8f6cc697ff4a0cda_crop2.png;pixelseal;img_dirette;Pulita;0.543;-0.0227
8f6cc697ff4a0cda_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0378
8f6cc697ff4a0cda_crop2.png;pixelseal;img_dirette;Attaccata;0.832;0.0303
0af3a38982db7f5d_crop3.png;pixelseal;img_dirette;Pulita;0.4844;-0.0233
0af3a38982db7f5d_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.1394
0af3a38982db7f5d_crop3.png;pixelseal;img_dirette;Attaccata;0.7812;-0.0107
1e3965ebc6806fbc_crop3.png;pixelseal;img_dirette;Pulita;0.4883;-0.0106
1e3965ebc6806fbc_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0017
1e3965ebc6806fbc_crop3.png;pixelseal;img_dirette;Attaccata;0.8555;-0.0214
bafd23428b91ec93_crop0.png;pixelseal;img_dirette;Pulita;0.5586;-0.0091
bafd23428b91ec93_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.1632
bafd23428b91ec93_crop0.png;pixelseal;img_dirette;Attaccata;0.7695;-0.0188
899b2dc8fab4cdfd_crop1.png;pixelseal;img_dirette;Pulita;0.5117;-0.0146
899b2dc8fab4cdfd_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.214
899b2dc8fab4cdfd_crop1.png;pixelseal;img_dirette;Attaccata;0.8789;-0.0177
a9f1534e193e7154_crop1.png;pixelseal;img_dirette;Pulita;0.5156;-0.0276
a9f1534e193e7154_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.2363
a9f1534e193e7154_crop1.png;pixelseal;img_dirette;Attaccata;0.9688;-0.1738
72a524ff4f26d0c6_crop1.png;pixelseal;img_dirette;Pulita;0.4492;-0.0146
72a524ff4f26d0c6_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0702
72a524ff4f26d0c6_crop1.png;pixelseal;img_dirette;Attaccata;0.9688;0.0929
899b2dc8fab4cdfd_crop3.png;pixelseal;img_dirette;Pulita;0.457;-0.03
899b2dc8fab4cdfd_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.0422
899b2dc8fab4cdfd_crop3.png;pixelseal;img_dirette;Attaccata;0.8594;0.0312
a9f1534e193e7154_crop0.png;pixelseal;img_dirette;Pulita;0.4805;-0.024
a9f1534e193e7154_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0773
a9f1534e193e7154_crop0.png;pixelseal;img_dirette;Attaccata;0.9648;-0.141
5c407d026717acce_crop0.png;pixelseal;img_dirette;Pulita;0.5117;-0.0253
5c407d026717acce_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.2056
5c407d026717acce_crop0.png;pixelseal;img_dirette;Attaccata;0.8672;-0.0704
35c620f16a2cbfcc_crop1.png;pixelseal;img_dirette;Pulita;0.4961;-0.0164
35c620f16a2cbfcc_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.2248
35c620f16a2cbfcc_crop1.png;pixelseal;img_dirette;Attaccata;0.9102;0.0161
65798d6e9bf80784_crop2.png;pixelseal;img_dirette;Pulita;0.5039;-0.0298
65798d6e9bf80784_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0676
65798d6e9bf80784_crop2.png;pixelseal;img_dirette;Attaccata;0.7422;0.0038
fe0a0e92b569f9a8_crop2.png;pixelseal;img_dirette;Pulita;0.4922;-0.0285
fe0a0e92b569f9a8_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0406
fe0a0e92b569f9a8_crop2.png;pixelseal;img_dirette;Attaccata;0.7852;-0.0097
72a524ff4f26d0c6_crop3.png;pixelseal;img_dirette;Pulita;0.5352;-0.0447
72a524ff4f26d0c6_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.0656
72a524ff4f26d0c6_crop3.png;pixelseal;img_dirette;Attaccata;0.9531;-0.0015
420a3f66afb06765_crop0.png;pixelseal;img_dirette;Pulita;0.4844;-0.0206
420a3f66afb06765_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0463
420a3f66afb06765_crop0.png;pixelseal;img_dirette;Attaccata;0.9375;-0.052
58e590cea5efc434_crop1.png;pixelseal;img_dirette;Pulita;0.5;-0.0095
58e590cea5efc434_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.1714
58e590cea5efc434_crop1.png;pixelseal;img_dirette;Attaccata;0.7773;0.036
4ced33b1d7bdd35c_crop1.png;pixelseal;img_dirette;Pulita;0.5039;-0.0143
4ced33b1d7bdd35c_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.1265
4ced33b1d7bdd35c_crop1.png;pixelseal;img_dirette;Attaccata;0.7812;0.0207
528b474cad675a6c_crop3.png;pixelseal;img_dirette;Pulita;0.5;-0.0125
528b474cad675a6c_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.2568
528b474cad675a6c_crop3.png;pixelseal;img_dirette;Attaccata;0.8477;0.0599
006afe56d09e8a25_crop1.png;pixelseal;img_dirette;Pulita;0.5391;-0.0205
006afe56d09e8a25_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.4618
006afe56d09e8a25_crop1.png;pixelseal;img_dirette;Attaccata;0.8945;-0.214
b4981e6dd9b3213f_crop0.png;pixelseal;img_dirette;Pulita;0.5078;-0.0239
b4981e6dd9b3213f_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0492
b4981e6dd9b3213f_crop0.png;pixelseal;img_dirette;Attaccata;0.8125;-0.0467
72a524ff4f26d0c6_crop2.png;pixelseal;img_dirette;Pulita;0.4805;-0.0261
72a524ff4f26d0c6_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.1182
72a524ff4f26d0c6_crop2.png;pixelseal;img_dirette;Attaccata;0.9844;-0.1272
ee888ed228a6dccf_crop0.png;pixelseal;img_dirette;Pulita;0.4805;-0.0403
ee888ed228a6dccf_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.1515
ee888ed228a6dccf_crop0.png;pixelseal;img_dirette;Attaccata;0.832;-0.0013
883cbab2c31aba88_crop3.png;pixelseal;img_dirette;Pulita;0.5078;-0.0102
883cbab2c31aba88_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.1691
883cbab2c31aba88_crop3.png;pixelseal;img_dirette;Attaccata;0.8594;0.0151
006afe56d09e8a25_crop3.png;pixelseal;img_dirette;Pulita;0.5078;-0.0286
006afe56d09e8a25_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0389
006afe56d09e8a25_crop3.png;pixelseal;img_dirette;Attaccata;0.9414;-0.1298
bafd23428b91ec93_crop1.png;pixelseal;img_dirette;Pulita;0.5117;0.0042
bafd23428b91ec93_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.2519
bafd23428b91ec93_crop1.png;pixelseal;img_dirette;Attaccata;0.793;-0.0955
18d58f0cccb265c4_crop2.png;pixelseal;img_dirette;Pulita;0.5469;-0.0292
18d58f0cccb265c4_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.1731
18d58f0cccb265c4_crop2.png;pixelseal;img_dirette;Attaccata;0.8711;0.0483
791caaeb3f093f0e_crop1.png;pixelseal;img_dirette;Pulita;0.5195;-0.0017
791caaeb3f093f0e_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0545
791caaeb3f093f0e_crop1.png;pixelseal;img_dirette;Attaccata;0.957;-0.1825
58e590cea5efc434_crop2.png;pixelseal;img_dirette;Pulita;0.4883;-0.0043
58e590cea5efc434_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0725
58e590cea5efc434_crop2.png;pixelseal;img_dirette;Attaccata;0.7617;-0.0094
18d58f0cccb265c4_crop3.png;pixelseal;img_dirette;Pulita;0.4805;-0.0266
18d58f0cccb265c4_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0194
18d58f0cccb265c4_crop3.png;pixelseal;img_dirette;Attaccata;0.8125;-0.0383
5c407d026717acce_crop1.png;pixelseal;img_dirette;Pulita;0.5117;-0.0435
5c407d026717acce_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.1155
5c407d026717acce_crop1.png;pixelseal;img_dirette;Attaccata;0.9023;0.077
0af3a38982db7f5d_crop0.png;pixelseal;img_dirette;Pulita;0.5;-0.0265
0af3a38982db7f5d_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.3137
0af3a38982db7f5d_crop0.png;pixelseal;img_dirette;Attaccata;0.7578;-0.0511
35c620f16a2cbfcc_crop2.png;pixelseal;img_dirette;Pulita;0.5234;-0.014
35c620f16a2cbfcc_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.0136
35c620f16a2cbfcc_crop2.png;pixelseal;img_dirette;Attaccata;0.7617;-0.041
883cbab2c31aba88_crop1.png;pixelseal;img_dirette;Pulita;0.5312;-0.0119
883cbab2c31aba88_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0149
883cbab2c31aba88_crop1.png;pixelseal;img_dirette;Attaccata;0.8711;0.0258
65798d6e9bf80784_crop3.png;pixelseal;img_dirette;Pulita;0.5195;-0.0188
65798d6e9bf80784_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.3335
65798d6e9bf80784_crop3.png;pixelseal;img_dirette;Attaccata;0.75;-0.0017
4ced33b1d7bdd35c_crop2.png;pixelseal;img_dirette;Pulita;0.5;-0.0166
4ced33b1d7bdd35c_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.171
4ced33b1d7bdd35c_crop2.png;pixelseal;img_dirette;Attaccata;0.8516;0.0876
c60b4dfea04074c0_crop0.png;pixelseal;img_dirette;Pulita;0.5;-0.0245
c60b4dfea04074c0_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0473
c60b4dfea04074c0_crop0.png;pixelseal;img_dirette;Attaccata;0.8438;0.009
1e3965ebc6806fbc_crop2.png;pixelseal;img_dirette;Pulita;0.4961;-0.0223
1e3965ebc6806fbc_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.1055
1e3965ebc6806fbc_crop2.png;pixelseal;img_dirette;Attaccata;0.8242;0.088
1e3965ebc6806fbc_crop1.png;pixelseal;img_dirette;Pulita;0.4961;-0.056
1e3965ebc6806fbc_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0211
1e3965ebc6806fbc_crop1.png;pixelseal;img_dirette;Attaccata;0.8984;-0.0452
8f6cc697ff4a0cda_crop1.png;pixelseal;img_dirette;Pulita;0.5156;-0.033
8f6cc697ff4a0cda_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.3338
